Asset A,Asset B,Sample Covariance,EWMA Covariance,Ledoit-Wolf Covariance,Difference (EWMA - Sample),Difference (%) (EWMA vs Sample)
EEM,EEM,0.044023,0.047021,0.043945,0.002998,6.811271
EEM,EFA,0.029887,0.017796,0.029648,-0.012091,-40.454476
EEM,GLD,0.007237,0.022006,0.007179,0.014769,204.067817
EEM,IWM,0.032296,0.020306,0.032038,-0.011990,-37.124378
EEM,QQQ,0.033476,0.028434,0.033209,-0.005042,-15.061423
EEM,SPY,0.027492,0.012836,0.027273,-0.014657,-53.311561
EEM,TLT,-0.003525,0.007573,-0.003497,0.011098,314.864431
EFA,EEM,0.029887,0.017796,0.029648,-0.012091,-40.454476
EFA,EFA,0.029686,0.014361,0.029723,-0.015325,-51.622474
EFA,GLD,0.004989,0.018050,0.004949,0.013061,261.819223
EFA,IWM,0.030277,0.013906,0.030035,-0.016371,-54.070265
EFA,QQQ,0.028421,0.014555,0.028194,-0.013866,-48.788816
EFA,SPY,0.025548,0.009824,0.025343,-0.015724,-61.547069
EFA,TLT,-0.003438,0.005759,-0.003410,0.009196,267.525866
GLD,EEM,0.007237,0.022006,0.007179,0.014769,204.067817
GLD,EFA,0.004989,0.018050,0.004949,0.013061,261.819223
GLD,GLD,0.026361,0.069676,0.026424,0.043315,164.318774
GLD,IWM,0.002877,0.018410,0.002854,0.015532,539.874698
GLD,QQQ,0.003020,0.017017,0.002996,0.013997,463.508965
GLD,SPY,0.002020,0.012400,0.002003,0.010380,513.983221
GLD,TLT,0.006144,0.007838,0.006095,0.001694,27.574777
IWM,EEM,0.032296,0.020306,0.032038,-0.011990,-37.124378
IWM,EFA,0.030277,0.013906,0.030035,-0.016371,-54.070265
IWM,GLD,0.002877,0.018410,0.002854,0.015532,539.874698
IWM,IWM,0.049842,0.020801,0.049717,-0.029040,-58.264940
IWM,QQQ,0.037586,0.017825,0.037285,-0.019761,-52.575451
IWM,SPY,0.033932,0.011719,0.033661,-0.022213,-65.462322
IWM,TLT,-0.004795,0.007663,-0.004757,0.012458,259.820504
QQQ,EEM,0.033476,0.028434,0.033209,-0.005042,-15.061423
QQQ,EFA,0.028421,0.014555,0.028194,-0.013866,-48.788816
QQQ,GLD,0.003020,0.017017,0.002996,0.013997,463.508965
QQQ,IWM,0.037586,0.017825,0.037285,-0.019761,-52.575451
QQQ,QQQ,0.048038,0.028131,0.047928,-0.019907,-41.441134
QQQ,SPY,0.035877,0.015291,0.035590,-0.020586,-57.379571
QQQ,TLT,-0.003763,0.005122,-0.003733,0.008885,236.099615
SPY,EEM,0.027492,0.012836,0.027273,-0.014657,-53.311561
SPY,EFA,0.025548,0.009824,0.025343,-0.015724,-61.547069
SPY,GLD,0.002020,0.012400,0.002003,0.010380,513.983221
SPY,IWM,0.033932,0.011719,0.033661,-0.022213,-65.462322
SPY,QQQ,0.035877,0.015291,0.035590,-0.020586,-57.379571
SPY,SPY,0.030836,0.010724,0.030863,-0.020112,-65.222118
SPY,TLT,-0.004401,0.004506,-0.004366,0.008907,202.369897
TLT,EEM,-0.003525,0.007573,-0.003497,0.011098,314.864431
TLT,EFA,-0.003438,0.005759,-0.003410,0.009196,267.525866
TLT,GLD,0.006144,0.007838,0.006095,0.001694,27.574777
TLT,IWM,-0.004795,0.007663,-0.004757,0.012458,259.820504
TLT,QQQ,-0.003763,0.005122,-0.003733,0.008885,236.099615
TLT,SPY,-0.004401,0.004506,-0.004366,0.008907,202.369897
TLT,TLT,0.021827,0.009592,0.021927,-0.012235,-56.053899
