Date,Absorption Ratio,Momentum Exposure Scale
2015-01-02,,1.000000
2015-01-05,,1.000000
2015-01-06,,1.000000
2015-01-07,,1.000000
2015-01-08,,1.000000
2015-01-09,,1.000000
2015-01-12,,1.000000
2015-01-13,,1.000000
2015-01-14,,1.000000
2015-01-15,,1.000000
2015-01-16,,1.000000
2015-01-20,,1.000000
2015-01-21,,1.000000
2015-01-22,,1.000000
2015-01-23,,1.000000
2015-01-26,,1.000000
2015-01-27,,1.000000
2015-01-28,,1.000000
2015-01-29,,1.000000
2015-01-30,,1.000000
2015-02-02,,1.000000
2015-02-03,,1.000000
2015-02-04,,1.000000
2015-02-05,,1.000000
2015-02-06,,1.000000
2015-02-09,,1.000000
2015-02-10,,1.000000
2015-02-11,,1.000000
2015-02-12,,1.000000
2015-02-13,,1.000000
2015-02-17,,1.000000
2015-02-18,,1.000000
2015-02-19,,1.000000
2015-02-20,,1.000000
2015-02-23,,1.000000
2015-02-24,,1.000000
2015-02-25,,1.000000
2015-02-26,,1.000000
2015-02-27,,1.000000
2015-03-02,,1.000000
2015-03-03,,1.000000
2015-03-04,,1.000000
2015-03-05,,1.000000
2015-03-06,,1.000000
2015-03-09,,1.000000
2015-03-10,,1.000000
2015-03-11,,1.000000
2015-03-12,,1.000000
2015-03-13,,1.000000
2015-03-16,,1.000000
2015-03-17,,1.000000
2015-03-18,,1.000000
2015-03-19,,1.000000
2015-03-20,,1.000000
2015-03-23,,1.000000
2015-03-24,,1.000000
2015-03-25,,1.000000
2015-03-26,,1.000000
2015-03-27,,1.000000
2015-03-30,,1.000000
2015-03-31,,1.000000
2015-04-01,,1.000000
2015-04-02,,1.000000
2015-04-06,,1.000000
2015-04-07,,1.000000
2015-04-08,,1.000000
2015-04-09,,1.000000
2015-04-10,,1.000000
2015-04-13,,1.000000
2015-04-14,,1.000000
2015-04-15,,1.000000
2015-04-16,,1.000000
2015-04-17,,1.000000
2015-04-20,,1.000000
2015-04-21,,1.000000
2015-04-22,,1.000000
2015-04-23,,1.000000
2015-04-24,,1.000000
2015-04-27,,1.000000
2015-04-28,,1.000000
2015-04-29,,1.000000
2015-04-30,,1.000000
2015-05-01,,1.000000
2015-05-04,,1.000000
2015-05-05,,1.000000
2015-05-06,,1.000000
2015-05-07,,1.000000
2015-05-08,,1.000000
2015-05-11,,1.000000
2015-05-12,,1.000000
2015-05-13,,1.000000
2015-05-14,,1.000000
2015-05-15,,1.000000
2015-05-18,,1.000000
2015-05-19,,1.000000
2015-05-20,,1.000000
2015-05-21,,1.000000
2015-05-22,,1.000000
2015-05-26,,1.000000
2015-05-27,,1.000000
2015-05-28,,1.000000
2015-05-29,,1.000000
2015-06-01,,1.000000
2015-06-02,,1.000000
2015-06-03,,1.000000
2015-06-04,,1.000000
2015-06-05,,1.000000
2015-06-08,,1.000000
2015-06-09,,1.000000
2015-06-10,,1.000000
2015-06-11,,1.000000
2015-06-12,,1.000000
2015-06-15,,1.000000
2015-06-16,,1.000000
2015-06-17,,1.000000
2015-06-18,,1.000000
2015-06-19,,1.000000
2015-06-22,,1.000000
2015-06-23,,1.000000
2015-06-24,,1.000000
2015-06-25,,1.000000
2015-06-26,,1.000000
2015-06-29,,1.000000
2015-06-30,,1.000000
2015-07-01,,1.000000
2015-07-02,0.603522,1.000000
2015-07-06,0.601574,1.000000
2015-07-07,0.593628,1.000000
2015-07-08,0.597926,1.000000
2015-07-09,0.594954,1.000000
2015-07-10,0.595852,1.000000
2015-07-13,0.594789,1.000000
2015-07-14,0.594418,1.000000
2015-07-15,0.595089,1.000000
2015-07-16,0.594253,1.000000
2015-07-17,0.595283,1.000000
2015-07-20,0.592132,1.000000
2015-07-21,0.593397,1.000000
2015-07-22,0.593960,1.000000
2015-07-23,0.593787,1.000000
2015-07-24,0.595576,1.000000
2015-07-27,0.598080,1.000000
2015-07-28,0.604638,1.000000
2015-07-29,0.602484,1.000000
2015-07-30,0.601853,1.000000
2015-07-31,0.597915,1.000000
2015-08-03,0.597529,1.000000
2015-08-04,0.593835,1.000000
2015-08-05,0.593925,1.000000
2015-08-06,0.592370,1.000000
2015-08-07,0.593199,1.000000
2015-08-10,0.597519,1.000000
2015-08-11,0.601606,1.000000
2015-08-12,0.600100,1.000000
2015-08-13,0.597440,1.000000
2015-08-14,0.595821,1.000000
2015-08-17,0.593246,1.000000
2015-08-18,0.593366,1.000000
2015-08-19,0.594505,1.000000
2015-08-20,0.598553,1.000000
2015-08-21,0.599592,1.000000
2015-08-24,0.612357,1.000000
2015-08-25,0.607577,1.000000
2015-08-26,0.616589,1.000000
2015-08-27,0.617979,1.000000
2015-08-28,0.616131,1.000000
2015-08-31,0.614951,1.000000
2015-09-01,0.622740,1.000000
2015-09-02,0.625098,1.000000
2015-09-03,0.627181,1.000000
2015-09-04,0.628964,1.000000
2015-09-08,0.633069,1.000000
2015-09-09,0.633897,1.000000
2015-09-10,0.634744,1.000000
2015-09-11,0.634472,1.000000
2015-09-14,0.635285,1.000000
2015-09-15,0.637900,1.000000
2015-09-16,0.641725,1.000000
2015-09-17,0.642787,1.000000
2015-09-18,0.647358,1.000000
2015-09-21,0.647156,1.000000
2015-09-22,0.649923,1.000000
2015-09-23,0.652201,1.000000
2015-09-24,0.653755,1.000000
2015-09-25,0.651948,1.000000
2015-09-28,0.655909,1.000000
2015-09-29,0.655889,1.000000
2015-09-30,0.660353,1.000000
2015-10-01,0.660172,0.300000
2015-10-02,0.658959,0.300000
2015-10-05,0.661815,0.300000
2015-10-06,0.662264,0.300000
2015-10-07,0.662340,0.300000
2015-10-08,0.663104,0.300000
2015-10-09,0.663097,0.300000
2015-10-12,0.663561,0.300000
2015-10-13,0.663708,0.300000
2015-10-14,0.662702,0.300000
2015-10-15,0.662360,0.300000
2015-10-16,0.662574,0.300000
2015-10-19,0.662323,0.300000
2015-10-20,0.661865,0.300000
2015-10-21,0.661857,0.300000
2015-10-22,0.662927,0.300000
2015-10-23,0.663999,0.300000
2015-10-26,0.664392,0.300000
2015-10-27,0.665346,0.300000
2015-10-28,0.660771,0.300000
2015-10-29,0.657716,0.300000
2015-10-30,0.657669,0.300000
2015-11-02,0.658363,0.300000
2015-11-03,0.660542,0.300000
2015-11-04,0.661526,0.300000
2015-11-05,0.662503,0.300000
2015-11-06,0.663981,0.300000
2015-11-09,0.663249,0.300000
2015-11-10,0.663497,0.300000
2015-11-11,0.662789,0.300000
2015-11-12,0.665203,0.300000
2015-11-13,0.667430,0.300000
2015-11-16,0.668210,0.300000
2015-11-17,0.668083,0.300000
2015-11-18,0.669040,0.300000
2015-11-19,0.668367,0.300000
2015-11-20,0.667222,0.300000
2015-11-23,0.667429,0.300000
2015-11-24,0.667435,0.300000
2015-11-25,0.666490,0.300000
2015-11-27,0.665242,0.300000
2015-11-30,0.666068,0.300000
2015-12-01,0.664675,0.300000
2015-12-02,0.663443,0.300000
2015-12-03,0.658481,0.300000
2015-12-04,0.655855,0.300000
2015-12-07,0.656602,0.312841
2015-12-08,0.654906,0.304943
2015-12-09,0.656421,0.329449
2015-12-10,0.656545,0.311081
2015-12-11,0.660860,0.311371
2015-12-14,0.660507,0.300000
2015-12-15,0.661271,0.300000
2015-12-16,0.661311,0.300000
2015-12-17,0.662234,0.300000
2015-12-18,0.661643,0.300000
2015-12-21,0.661766,0.300000
2015-12-22,0.662083,0.300000
2015-12-23,0.663215,0.300000
2015-12-24,0.664236,0.300000
2015-12-28,0.658573,0.300000
2015-12-29,0.659858,0.312157
2015-12-30,0.659782,0.300000
2015-12-31,0.660337,0.300000
2016-01-04,0.664477,0.300000
2016-01-05,0.665781,0.300000
2016-01-06,0.665724,0.300000
2016-01-07,0.669566,0.300000
2016-01-08,0.668598,0.300000
2016-01-11,0.667868,0.300000
2016-01-12,0.666243,0.300000
2016-01-13,0.667360,0.300000
2016-01-14,0.670667,0.300000
2016-01-15,0.675977,0.300000
2016-01-19,0.674257,0.300000
2016-01-20,0.672612,0.300000
2016-01-21,0.673292,0.300000
2016-01-22,0.676277,0.300000
2016-01-25,0.677027,0.300000
2016-01-26,0.675994,0.300000
2016-01-27,0.674116,0.300000
2016-01-28,0.673575,0.300000
2016-01-29,0.671927,0.300000
2016-02-01,0.672643,0.300000
2016-02-02,0.676704,0.300000
2016-02-03,0.674983,0.300000
2016-02-04,0.674330,0.300000
2016-02-05,0.674060,0.300000
2016-02-08,0.676915,0.300000
2016-02-09,0.675543,0.300000
2016-02-10,0.673816,0.300000
2016-02-11,0.675906,0.300000
2016-02-12,0.679141,0.300000
2016-02-16,0.684404,0.300000
2016-02-17,0.686817,0.300000
2016-02-18,0.688047,0.300000
2016-02-19,0.686892,0.300000
2016-02-22,0.684834,0.300000
2016-02-23,0.686559,0.300000
2016-02-24,0.686206,0.300000
2016-02-25,0.689396,0.300000
2016-02-26,0.680900,0.300000
2016-02-29,0.680962,0.300000
2016-03-01,0.688437,0.300000
2016-03-02,0.689002,0.300000
2016-03-03,0.683834,0.300000
2016-03-04,0.681542,0.300000
2016-03-07,0.681017,0.300000
2016-03-08,0.681316,0.300000
2016-03-09,0.676834,0.300000
2016-03-10,0.677202,0.300000
2016-03-11,0.680848,0.300000
2016-03-14,0.680914,0.300000
2016-03-15,0.680275,0.300000
2016-03-16,0.677538,0.300000
2016-03-17,0.677088,0.300000
2016-03-18,0.677431,0.300000
2016-03-21,0.674522,0.300000
2016-03-22,0.675674,0.300000
2016-03-23,0.673589,0.300000
2016-03-24,0.673760,0.300000
2016-03-28,0.673225,0.300000
2016-03-29,0.671662,0.300000
2016-03-30,0.669178,0.318933
2016-03-31,0.669158,0.352606
2016-04-01,0.664521,0.353779
2016-04-04,0.664432,0.415711
2016-04-05,0.669536,0.417481
2016-04-06,0.667799,0.350572
2016-04-07,0.671020,0.374461
2016-04-08,0.669344,0.332539
2016-04-11,0.667399,0.355781
2016-04-12,0.668840,0.382513
