Ticker,Momentum Return (%),Realized Volatility (%)
AAPL,24.8918,31.6081
ADBE,-9.1009,50.9310
AMZN,18.3917,43.7304
BA,-4.0565,34.9494
BAC,29.7784,17.8160
CAT,14.0292,43.3200
COST,-8.9454,20.1708
CRM,26.0205,61.3395
CVX,13.0649,25.3251
DIS,4.5517,27.1387
GE,-0.4851,30.2966
GOOGL,7.6618,35.8674
HD,-11.3153,27.8643
JNJ,10.8833,25.5115
JPM,23.7223,20.1970
KO,14.9594,21.9957
MA,12.2462,21.8179
MCD,-21.0979,22.3584
META,-1.2504,46.8397
MRK,26.5629,37.0604
MSFT,21.6739,43.2407
NFLX,-20.0977,37.5389
NVDA,17.4458,40.4942
PEP,-12.6955,22.6814
PFE,4.0541,22.6239
PG,-5.2014,19.0813
TSLA,-10.1589,56.8833
UNH,37.0764,23.2730
V,19.0938,20.5716
WMT,-13.8935,28.1559
XOM,10.5760,26.1445
