Lookback (days),Rebalance Frequency,OOS Annual Return (%),OOS Annual Volatility (%),OOS Sharpe Ratio,OOS Max Drawdown (%),Annualized Turnover (x/yr),Folds
63,W,8.6621,14.5940,0.6425,-37.7222,15.8625,8
63,ME,13.6747,14.7818,0.9413,-31.8937,7.2882,8
63,QE,7.4055,17.4768,0.4969,-34.6532,4.3729,8
126,W,7.6430,14.7155,0.5743,-34.0838,10.9466,8
126,ME,10.4798,15.6437,0.7156,-28.0139,4.7731,8
126,QE,9.2257,17.9681,0.5816,-34.2474,2.8295,8
189,W,11.8433,14.4521,0.8470,-30.5098,9.1174,8
189,ME,11.1929,15.1798,0.7750,-28.8122,3.8585,8
189,QE,12.8365,16.2355,0.8254,-29.6113,2.2007,8
252,W,12.5127,14.9086,0.8657,-28.6208,7.5740,8
252,ME,11.1130,15.4574,0.7592,-29.7085,3.6870,8
252,QE,8.8678,17.8094,0.5668,-34.2474,2.2007,8
