Date,Minimum Variance,Risk Parity,Momentum,Momentum (Regime-Scaled),Equal Weight,Buy & Hold SPY
2015-01-02,,,1.00000000,1.00000000,1.00000000,
2015-01-05,1.00281722,0.99838441,1.00000000,1.00000000,0.99139803,0.98194100
2015-01-06,1.00934829,1.00021890,1.00000000,1.00000000,0.98768156,0.97269182
2015-01-07,1.01166231,1.00568502,1.00000000,1.00000000,0.99650601,0.98481268
2015-01-08,1.01111131,1.00959984,1.00000000,1.00000000,1.00603847,1.00228808
2015-01-09,1.01565375,1.01171356,1.00000000,1.00000000,1.00460117,0.99425637
2015-01-12,1.01817560,1.01227587,1.00000000,1.00000000,1.00241044,0.98646771
2015-01-13,1.01719932,1.01279527,1.00000000,1.00000000,1.00356425,0.98369314
2015-01-14,1.01825336,1.01228504,1.00000000,1.00000000,1.00098001,0.97775411
2015-01-15,1.02867375,1.01890691,1.00000000,1.00000000,1.00249363,0.96879753
2015-01-16,1.03075693,1.02413068,1.00000000,1.00000000,1.01149887,0.98150271
2015-01-20,1.04051973,1.03168367,1.00000000,1.00000000,1.01652830,0.98359558
2015-01-21,1.03761306,1.03210897,1.00000000,1.00000000,1.02024532,0.98856066
2015-01-22,1.04222517,1.04045651,1.00000000,1.00000000,1.03205805,1.00326213
2015-01-23,1.04459545,1.04124126,1.00000000,1.00000000,1.03040146,0.99776128
2015-01-26,1.04308674,1.04113826,1.00000000,1.00000000,1.03216757,1.00009739
2015-01-27,1.04281540,1.03895387,1.00000000,1.00000000,1.02703376,0.98690590
2015-01-28,1.04332968,1.03590083,1.00000000,1.00000000,1.01938836,0.97424955
2015-01-29,1.03960556,1.03465453,1.00000000,1.00000000,1.02204022,0.98325513
2015-01-30,1.04731366,1.03545259,1.00000000,1.00000000,1.01540172,0.97089066
2015-02-02,1.04844567,1.03910042,1.00000000,1.00000000,1.02238750,0.98291432
2015-02-03,1.04212219,1.03858649,1.00000000,1.00000000,1.02888301,0.99712805
2015-02-04,1.04195481,1.03759019,1.00000000,1.00000000,1.02660491,0.99333124
