Rank,Window,Portfolio,Cumulative Loss (%),Period End
1,5 trading days,Minimum Variance,9.6983,2020-03-18
2,5 trading days,Minimum Variance,8.9057,2020-03-13
3,5 trading days,Minimum Variance,8.6472,2020-03-16
4,5 trading days,Minimum Variance,8.4933,2020-03-12
5,5 trading days,Minimum Variance,8.4034,2020-03-17
6,5 trading days,Minimum Variance,6.6684,2022-06-14
7,5 trading days,Minimum Variance,6.6138,2025-04-08
8,5 trading days,Minimum Variance,5.0555,2025-04-07
9,5 trading days,Minimum Variance,4.9067,2022-06-13
10,5 trading days,Minimum Variance,4.7579,2022-09-27
